"","PCDDF_P05","PCDDF_P95","PCDDF_pred","PCDDF_sample","y"
"45",0.48845959500647,1.81072628021723,0.935090286495123,1.33225999812643,0.153005464480874
"28",0.447598031884688,1.92884970493184,0.942358377827785,0.590502336670246,0.158469945355191
"157",0.501615947666496,1.79334902681998,0.949907725335723,1.07365618429679,0.163934426229508
"3",0.483782884132259,1.91856095168184,0.954615746762286,0.571427137216447,0.169398907103825
"131",0.497340124037631,1.88549528770874,0.965217609257718,0.644494946062422,0.174863387978142
"138",0.50125580438259,1.90435499501001,0.968220431730594,0.596257668481383,0.180327868852459
"72",0.501660773221547,1.89573427543182,0.971950147194344,0.977336720277349,0.185792349726776
"2",0.506065503941573,1.88647593933512,0.973799447698807,0.85283948243069,0.191256830601093
"78",0.518012985451806,2.02504531547494,1.00858090464656,1.94492632576712,0.19672131147541
"174",0.47055086676047,2.39503470997427,1.0115623598191,1.22339637208386,0.202185792349727
"100",0.532769613948061,1.96140377206391,1.01259948248679,1.05089934214043,0.207650273224044
"82",0.5252189531068,1.99695651242202,1.019273995894,1.1802415148959,0.213114754098361
"21",0.528984794510082,2.15175347279616,1.03788848197003,0.666350505002601,0.218579234972678
"163",0.525065065531223,2.09490421098872,1.06931278863309,0.903516360188356,0.224043715846995
"149",0.558324992234912,2.09846797346159,1.07747156756411,1.77245554978974,0.229508196721311
"107",0.545603758841885,2.15755547366053,1.09269030049624,1.58847254237277,0.234972677595628
"27",0.565043077065433,2.20436062854194,1.10458029310193,1.44914031217276,0.240437158469945
"15",0.579905791939431,2.14447086608959,1.10635593733922,1.18297363847052,0.245901639344262
"160",0.565142219650127,2.32660195132045,1.10785757763733,4.94717716481554,0.251366120218579
"68",0.594759733577594,2.21002655438919,1.13766410971354,1.96503111223617,0.256830601092896
"26",0.590363860015247,2.28865801548483,1.15268254094284,1.39811371472108,0.262295081967213
"33",0.607477928650409,2.32215212692122,1.16306442095623,1.93704048258379,0.26775956284153
"119",0.609955640341304,2.31697981178003,1.1656806246577,1.94169636546802,0.273224043715847
"162",0.609310564824644,2.3170088599613,1.17494685419762,1.07027498856978,0.278688524590164
"38",0.617651953340238,2.28949644149316,1.18200120601515,1.28548604878773,0.284153005464481
"19",0.611075715268629,2.34223729220376,1.19289989433802,1.20491162371499,0.289617486338798
"99",0.61709440708771,2.35588197052296,1.20666107410152,1.37190134607182,0.295081967213115
"55",0.598409113618307,2.38816556337329,1.20710827045442,0.82255740301017,0.300546448087432
"132",0.641176603236467,2.36144412964858,1.21462039685319,0.442795197317202,0.306010928961749
"47",0.632936104347704,2.32831238601778,1.22975653218138,2.06443089128887,0.311475409836066
"104",0.630325199348409,2.40857599323371,1.23281532860635,0.71037561115559,0.316939890710383
"128",0.635034691999807,2.50532519410959,1.24990596998581,3.61672554530731,0.322404371584699
"164",0.643592653982992,2.49958198933348,1.25579344014276,1.08390016908539,0.327868852459016
"96",0.638542361729608,2.54206312278249,1.2579781728586,1.21579446388564,0.333333333333333
"9",0.644074829805609,2.55067903827509,1.27651651315612,2.77485838110529,0.33879781420765
"122",0.689708691654887,2.56370231673227,1.30173403247597,2.4615736040463,0.344262295081967
"116",0.657098797834565,2.57886100166675,1.30238119594393,1.65010237955347,0.349726775956284
"83",0.673434694059322,2.50306890950659,1.30698511088454,1.27686513816195,0.355191256830601
"170",0.669527782669494,2.55455118529283,1.30834160804951,1.53329346741911,0.360655737704918
"71",0.67136192816078,2.58776332262495,1.3087697903304,1.33489193994729,0.366120218579235
"146",0.705296236761833,2.52932759022689,1.33750605309173,1.66990919804286,0.371584699453552
"70",0.705585297884438,2.56262647339499,1.34361156276244,1.82322557847853,0.377049180327869
"134",0.712113934301472,2.63003917156176,1.35127333697184,1.04529790208069,0.382513661202186
"31",0.673353007032828,2.72894543238529,1.36390784571942,1.42643786839921,0.387978142076503
"48",0.706538237174249,2.64671687559989,1.36882214028048,1.84545075792778,0.39344262295082
"64",0.683426690223681,2.73922302421042,1.38346945977242,0.699050768193036,0.398907103825137
"30",0.722865450977134,2.73389540485923,1.39133186569992,2.60035800444697,0.404371584699454
"8",0.720537085257574,2.72108788180212,1.39186687741333,1.16757579343759,0.409836065573771
"135",0.732849184142203,2.76741369105891,1.40270089723129,1.85899186508812,0.415300546448087
"127",0.71272311494802,2.72572755975807,1.41040358946231,1.33619654903365,0.420765027322404
"63",0.72258263672223,2.69466446531837,1.41524871056321,1.09826392786513,0.426229508196721
"32",0.735109445903532,2.7505002537252,1.42186214233467,1.69100392529853,0.431693989071038
"148",0.760170809331876,2.79550717885243,1.4239507187824,1.26937091417304,0.437158469945355
"169",0.756770086015142,2.79427309299449,1.42878352452532,1.35771691252393,0.442622950819672
"41",0.745813956405249,2.67600506063158,1.43671403646217,1.19190994416102,0.448087431693989
"181",0.72812672586233,2.7981584622892,1.45585842352545,1.51375014723874,0.453551912568306
"143",0.766282763058977,2.86685745814602,1.46552030759631,1.22786360142786,0.459016393442623
"16",0.786005877787155,2.72728097395124,1.47349056076287,1.48599854565385,0.46448087431694
"36",0.768015264643929,2.87142940917597,1.48214054941826,3.18432881093593,0.469945355191257
"14",0.771005016916394,2.86343185862561,1.48322850281226,2.3967434836786,0.475409836065574
"89",0.798896698047669,2.84748607914463,1.49231774544269,1.41788825956199,0.480874316939891
"176",0.786776316583801,2.89725887542468,1.50207439838036,2.44459728596154,0.486338797814208
"39",0.792557321625449,2.89207960088102,1.51002109915959,0.943500090346777,0.491803278688525
"177",0.785486342863419,2.98266161587874,1.51905115400002,1.13587283023673,0.497267759562842
"111",0.802395828827452,2.99779045573955,1.53326902788604,3.5385513912735,0.502732240437158
"51",0.808975779811194,2.93384826062658,1.54308088886434,5.61146957900879,0.508196721311475
"25",0.839157367080954,2.95682689124935,1.56167965785519,1.41747410767855,0.513661202185792
"37",0.810567483331139,3.01921114953713,1.57319579870965,2.00409490099249,0.519125683060109
