"","SUM_P05","SUM_P95","SUM_pred","SUM_sample","y"
"134",1.24793547800831,3.38948467240838,2.03237812841554,1.64536773428104,0.409836065573771
"48",1.21506279977817,3.49689369642419,2.03388542834081,1.52479690976905,0.415300546448087
"135",1.20978593869974,3.61725112006602,2.05374038379977,1.58567320618699,0.420765027322404
"19",1.27982816150901,3.43095317464275,2.0699177584727,1.73972544688795,0.426229508196721
"176",1.24902739822571,3.60368454529211,2.08316972608373,2.78561461406699,0.431693989071038
"63",1.25251904399313,3.52950199133992,2.0903978008322,1.25933488802892,0.437158469945355
"129",1.24026245279211,3.80001448760234,2.11308213857502,2.31639723401356,0.442622950819672
"143",1.26556440341636,3.69253772118239,2.11668886021439,1.8754241261362,0.448087431693989
"111",1.28487893165121,3.72314233840518,2.14313941982394,2.21366344299112,0.453551912568306
"169",1.30077274008844,3.67584329854548,2.1634449278059,2.90724557451531,0.459016393442623
"62",1.26288765206565,4.01273768208187,2.18120465956264,5.13001705688538,0.46448087431694
"16",1.35491702054801,3.73615695107327,2.18906056581528,1.39375312219997,0.469945355191257
"71",1.35300650200876,3.67977819449405,2.20216415261558,3.17517830049458,0.475409836065574
"25",1.33481615049603,3.73034190922442,2.21871313093631,2.26600251699598,0.480874316939891
"56",1.30129661376319,3.94076054353171,2.24300667686929,2.20176717991443,0.486338797814208
"39",1.38521236730784,3.81847201637729,2.26339264693595,1.77861025942423,0.491803278688525
"146",1.38586450373264,3.65823554830288,2.26373752367179,2.63805090069516,0.497267759562842
"152",1.38376423761923,3.95978487035946,2.27444249114923,2.21668670272837,0.502732240437158
"6",1.3694630750225,4.03726574133483,2.2770733030367,2.69298570695287,0.508196721311475
"41",1.41428294157616,3.73494112363177,2.27742073637834,1.27125723587951,0.513661202185792
"127",1.36853154461456,3.7286125760412,2.28585605262714,1.62128474502945,0.519125683060109
"75",1.30663658261769,4.05911216698458,2.28610497837454,2.53048991009139,0.524590163934426
"177",1.36901698197537,3.84106352899955,2.28626527055148,2.38675060761635,0.530054644808743
"29",1.41833501205015,3.84398220893042,2.30111724735371,1.71776824154733,0.53551912568306
"37",1.38330608053683,3.90364733308021,2.32828566815309,5.27194036936357,0.540983606557377
"8",1.40267588209766,3.86435401410051,2.33142755724255,2.05472124463532,0.546448087431694
"159",1.38757934430108,4.01156486753217,2.33768119085631,5.07262171452807,0.551912568306011
"57",1.44676029710772,3.98442697113804,2.37658865476579,2.7147185458276,0.557377049180328
"181",1.42573415422999,3.89665092186924,2.38461700656641,2.20072595450732,0.562841530054645
"113",1.4237842836647,4.13350810910781,2.40836376324777,2.30669548283223,0.568306010928962
